	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
KRT10	0	2.1449709742543	0.923	0.761	0	Keratinocytes	KRT10
KRT14	0	2.11121131436432	0.95	0.777	0	Keratinocytes	KRT14
S100A9	0	2.08828390783841	0.957	0.809	0	Keratinocytes	S100A9
S100A8	0	2.05892868061552	0.96	0.79	0	Keratinocytes	S100A8
S100A7	0	2.05470702739545	0.901	0.718	0	Keratinocytes	S100A7
KRT1	0	1.97398861778506	0.767	0.507	0	Keratinocytes	KRT1
KRTDAP	0	1.91543432739474	0.754	0.415	0	Keratinocytes	KRTDAP
KRT5	0	1.88985047498947	0.949	0.627	0	Keratinocytes	KRT5
S100A2	0	1.76436584912677	0.936	0.534	0	Keratinocytes	S100A2
LY6D	0	1.72111870662358	0.938	0.447	0	Keratinocytes	LY6D
FABP5	0	1.70455439688995	0.856	0.735	0	Keratinocytes	FABP5
DMKN	0	1.6747664126507	0.777	0.342	0	Keratinocytes	DMKN
KRT6A	0	1.65411050971692	0.815	0.357	0	Keratinocytes	KRT6A
PERP	0	1.63798445273079	1	0.551	0	Keratinocytes	PERP
SFN	0	1.61644769955644	0.999	0.469	0	Keratinocytes	SFN
KRT16	0	1.55903112532749	0.699	0.222	0	Keratinocytes	KRT16
DSP	0	1.45249451208561	0.982	0.413	0	Keratinocytes	DSP
SERPINB4	0	1.4373565883094	0.669	0.186	0	Keratinocytes	SERPINB4
LGALS7B	0	1.37567574629175	0.939	0.271	0	Keratinocytes	LGALS7B
S100A14	0	1.35110795750256	0.974	0.308	0	Keratinocytes	S100A14
AQP3	0	1.33025875456034	0.961	0.305	0	Keratinocytes	AQP3
FXYD3	0	1.23590429892012	0.988	0.288	0	Keratinocytes	FXYD3
KRT6B	0	1.20962486501339	0.366	0.104	0	Keratinocytes	KRT6B
MIR205HG	0	1.18872687953456	0.952	0.246	0	Keratinocytes	MIR205HG
KRT15	0	1.17480460059685	0.275	0.068	0	Keratinocytes	KRT15
KRT17	0	1.1592714705218	0.341	0.099	0	Keratinocytes	KRT17
DSG1	0	1.15478132337733	0.869	0.191	0	Keratinocytes	DSG1
DSC3	0	1.12235691584296	0.949	0.236	0	Keratinocytes	DSC3
SBSN	0	1.08867656962915	0.4	0.083	0	Keratinocytes	SBSN
S100A16	0	1.07432870026839	0.984	0.417	0	Keratinocytes	S100A16
CALML3	0	1.07286447882754	0.703	0.114	0	Keratinocytes	CALML3
CALML5	0	1.01507575452537	0.31	0.065	0	Keratinocytes	CALML5
SERPINB3	0	1.00062111199161	0.395	0.082	0	Keratinocytes	SERPINB3
GJB2	0	0.962421434479812	0.748	0.149	0	Keratinocytes	GJB2
IFI27	0	0.935143282356853	0.975	0.743	0	Keratinocytes	IFI27
JUP	0	0.931754723228005	0.905	0.217	0	Keratinocytes	JUP
DAPL1	0	0.919934661055752	0.838	0.129	0	Keratinocytes	DAPL1
IMPA2	0	0.883369092141887	0.874	0.142	0	Keratinocytes	IMPA2
LGALS7	0	0.878999436836906	0.464	0.076	0	Keratinocytes	LGALS7
DBI	0	0.871519396116257	0.971	0.749	0	Keratinocytes	DBI
GSTP1	0	0.856431998644345	0.994	0.827	0	Keratinocytes	GSTP1
TMEM45A	0	0.827174640041571	0.788	0.216	0	Keratinocytes	TMEM45A
MT1X	0	0.822670072233263	0.829	0.448	0	Keratinocytes	MT1X
TACSTD2	0	0.821984563264243	0.796	0.161	0	Keratinocytes	TACSTD2
FGFBP1	0	0.796129754233498	0.491	0.077	0	Keratinocytes	FGFBP1
SPINT2	0	0.792710749494973	0.883	0.182	0	Keratinocytes	SPINT2
CRABP2	0	0.783917408372747	0.77	0.351	0	Keratinocytes	CRABP2
COL17A1	0	0.777019363433605	0.361	0.079	0	Keratinocytes	COL17A1
DST	0	0.772416032721222	0.641	0.341	0	Keratinocytes	DST
TXNDC17	0	0.759624792891784	0.883	0.304	0	Keratinocytes	TXNDC17
SPINK5	0	0.759619876848235	0.445	0.066	0	Keratinocytes	SPINK5
S100A11	0	0.750103041422563	0.998	0.925	0	Keratinocytes	S100A11
SLPI	0	0.72203389091405	0.347	0.067	0	Keratinocytes	SLPI
CBR1	0	0.7154323363994	0.829	0.2	0	Keratinocytes	CBR1
LYPD3	0	0.69976401788354	0.439	0.102	0	Keratinocytes	LYPD3
GLTP	0	0.698066969293309	0.57	0.163	0	Keratinocytes	GLTP
DEGS1	0	0.69311580980401	0.864	0.317	0	Keratinocytes	DEGS1
PDZK1IP1	0	0.688969935878982	0.523	0.068	0	Keratinocytes	PDZK1IP1
ALDH2	0	0.675433512413208	0.822	0.286	0	Keratinocytes	ALDH2
TRIM29	0	0.673148483480357	0.599	0.088	0	Keratinocytes	TRIM29
PLP2	0	0.665995352250903	0.933	0.376	0	Keratinocytes	PLP2
PYCARD	0	0.664242133033998	0.802	0.253	0	Keratinocytes	PYCARD
HOPX	0	0.653051358827321	0.722	0.165	0	Keratinocytes	HOPX
C19orf33	0	0.640044301858182	0.536	0.079	0	Keratinocytes	C19orf33
PKP1	0	0.639069391592121	0.526	0.084	0	Keratinocytes	PKP1
APRT	0	0.62774598862175	0.94	0.487	0	Keratinocytes	APRT
IGFBP3	0	0.619136806596971	0.262	0.112	0	Keratinocytes	IGFBP3
TSPO	0	0.617520603316758	0.985	0.683	0	Keratinocytes	TSPO
AL445524.1	0	0.613260092202572	0.522	0.112	0	Keratinocytes	AL445524.1
ATP5MC3	0	0.611554448943542	0.952	0.569	0	Keratinocytes	ATP5MC3
KLF5	0	0.608195224702341	0.706	0.187	0	Keratinocytes	KLF5
CSTA	0	0.594552619062757	0.444	0.106	0	Keratinocytes	CSTA
SLC2A1	0	0.592030685765185	0.487	0.109	0	Keratinocytes	SLC2A1
CLCA2	0	0.58624501632194	0.543	0.07	0	Keratinocytes	CLCA2
CLTB	0	0.583304409034261	0.873	0.355	0	Keratinocytes	CLTB
AKR1B10	0	0.580736336570448	0.392	0.052	0	Keratinocytes	AKR1B10
RAB25	0	0.565959031426045	0.444	0.053	0	Keratinocytes	RAB25
LAD1	0	0.563732522350921	0.504	0.073	0	Keratinocytes	LAD1
ATP1B3	0	0.55839489935861	0.968	0.678	0	Keratinocytes	ATP1B3
PRXL2A	0	0.557526861063434	0.512	0.18	0	Keratinocytes	PRXL2A
PPP1R14B	0	0.554011440011634	0.951	0.529	0	Keratinocytes	PPP1R14B
ENSA	0	0.55022010843148	0.833	0.314	0	Keratinocytes	ENSA
