	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MTRNR2L12	0	0.39354382407643	0.897	0.651	0
PLCG2	5.471922169473e-217	0.325920348227424	0.471	0.222	1.40201589826237e-212
PDGFB	2.16717832888917e-142	0.323441498357928	0.353	0.175	5.55274431427983e-138
MTRNR2L8	1.87912689779379e-216	0.27218156978464	0.46	0.203	4.81469893752725e-212
PABPC4	9.0140718992495e-131	0.240851517246243	0.604	0.41	2.30958550202571e-126
RGS1	8.73044444831791e-73	0.239157063850305	0.599	0.453	2.23691447654801e-68
MT-ATP8	8.25648653941996e-185	0.239026101248505	0.414	0.187	2.11547698113018e-180
SELENOK	5.34018370221759e-89	0.23190107029997	0.784	0.675	1.36826186818219e-84
TES	3.74353943977053e-93	0.221703096130647	0.569	0.407	9.59169675258005e-89
MT-ND4L	2.38224668707342e-128	0.219246583884835	0.686	0.465	6.10379246161951e-124
DPYSL2	7.7808135249248e-82	0.200805317168948	0.525	0.368	1.99360004135623e-77
CPVL	1.77973150389185e-51	0.195286131666197	0.613	0.496	4.56002805927169e-47
BCL2A1	7.27760080811396e-47	0.185101641698186	0.712	0.62	1.86466687905496e-42
PLEK	8.33897710163994e-62	0.184005407267765	0.747	0.642	2.13661271298219e-57
SNHG25	2.56750865262087e-137	0.182688730191974	0.255	0.098	6.57847066974521e-133
CREM	2.48301006311377e-59	0.181205153764895	0.703	0.598	6.36196838371009e-55
GLIPR1	2.24119273903445e-56	0.177581653687532	0.571	0.441	5.74238403595407e-52
FCER1A	1.71916634811293e-41	0.176679374280927	0.31	0.213	4.40484801713496e-37
NFE2L2	2.7969854285001e-87	0.176349550379879	0.864	0.782	7.16643606490296e-83
RBMX	2.97508492503604e-80	0.172394473205787	0.463	0.308	7.62276259492735e-76
CD58	1.14023259370729e-90	0.171197577000127	0.415	0.249	2.92150395159681e-86
GPR65	3.1563578419487e-72	0.169173559969379	0.317	0.185	8.08722006264095e-68
HLA-DQB2	9.85126880552496e-54	0.168155314098851	0.3	0.187	2.5240920933516e-49
FXR1	1.63261875996558e-82	0.167890122268867	0.507	0.339	4.18309578678381e-78
REL	1.33429545048848e-56	0.165541271647094	0.804	0.717	3.41873180324158e-52
LSP1	9.07871660860664e-60	0.164489199497218	0.528	0.38	2.32614876945719e-55
PKIB	1.93863673008779e-66	0.164091256357944	0.324	0.194	4.96717502983093e-62
G0S2	3.23196551432606e-14	0.163712261090196	0.476	0.433	8.28094204080623e-10
MCOLN2	4.13412844296697e-75	0.163454148280962	0.405	0.255	1.059246389657e-70
NABP1	5.25692642428363e-46	0.162964895966018	0.611	0.496	1.34692968842995e-41
RAB8B	8.48675269385178e-56	0.161266383075616	0.675	0.552	2.1744757752187e-51
RGS2	1.98706562753499e-39	0.159069195533089	0.505	0.387	5.09125955087015e-35
AP1S2	2.55075350745143e-67	0.15844011691337	0.484	0.337	6.53554063679205e-63
PDE4B	1.21691446279559e-51	0.155935880607461	0.634	0.509	3.11797823657486e-47
CD1C	2.70031556558878e-61	0.154349014944405	0.234	0.126	6.91874854215156e-57
GOLGB1	6.19718789031054e-66	0.153413321354577	0.502	0.35	1.58784348125537e-61
RGS10	2.62698946942548e-49	0.152436273208519	0.611	0.483	6.73087241856197e-45
IL1R2	1.13870321792197e-48	0.150723750841697	0.348	0.23	2.91758538495967e-44
GPR183	6.08285325378268e-39	0.149329613697361	0.801	0.773	1.5585486606842e-34
NFAT5	3.66412114771824e-58	0.145444062215877	0.504	0.36	9.38821120468368e-54
ATP1B1	3.51721702967993e-44	0.145104309327729	0.633	0.525	9.01181347344592e-40
CHML	2.25972918739374e-62	0.14479541110309	0.323	0.195	5.78987812394023e-58
DNAJA1	5.42895924730156e-44	0.144253409534583	0.828	0.753	1.39100793834361e-39
SPAG9	8.75640795456033e-47	0.143722428465127	0.723	0.597	2.24356684611745e-42
BASP1	4.36570677612696e-37	0.143703463330109	0.736	0.657	1.11858139017925e-32
LCP1	7.61242046143927e-48	0.14251737442132	0.798	0.716	1.95045437062997e-43
MT-ND3	5.27548185722758e-177	0.142486991141587	0.989	0.978	1.35168396145885e-172
CST7	5.05288356575805e-30	0.141633748043989	0.446	0.35	1.29464982721853e-25
MAP4K4	1.29873054869907e-36	0.141438072427535	0.567	0.453	3.32760741187676e-32
NUB1	4.00749386825697e-37	0.141395513978778	0.35	0.247	1.0268000789248e-32
IL23A	1.7446440654702e-18	0.141207291869605	0.161	0.11	4.47012702454776e-14
BIRC3	6.33401295162416e-24	0.140964807542241	0.719	0.658	1.62290079846514e-19
HIST1H4C	3.10313977035575e-50	0.139402686029973	0.388	0.253	7.9508647196055e-46
MKNK2	2.09869234922636e-48	0.139354072781543	0.519	0.387	5.37726953718778e-44
TRAF1	4.58077171256799e-40	0.138508931088914	0.519	0.405	1.17368532819417e-35
TBCA	4.81435991397922e-50	0.137473098207103	0.662	0.539	1.23353529715976e-45
CSF2RA	5.25594254879827e-48	0.137250386422782	0.447	0.325	1.34667759985309e-43
RUNX3	8.09354832658705e-46	0.136960950268075	0.502	0.376	2.07372895223813e-41
LINC00513	1.94851063864965e-90	0.13572021045406	0.235	0.106	4.99247395834814e-86
CD55	1.71858306511333e-31	0.135572658564024	0.642	0.547	4.40335352943337e-27
STK4	1.58974434888579e-39	0.135258666737185	0.733	0.633	4.07324297071518e-35
ZFYVE16	9.89242653553549e-32	0.134253366673041	0.425	0.33	2.5346375269349e-27
HLA-DQA2	2.32379876665223e-29	0.133920997273379	0.53	0.434	5.95403719991633e-25
PPT1	7.3108118177265e-45	0.133257211766613	0.494	0.376	1.87317620393788e-40
DUSP4	1.51217876978174e-29	0.132545862919006	0.405	0.313	3.87450444393477e-25
NFKBID	5.393872797248e-53	0.132057260667712	0.42	0.286	1.38201808811088e-48
LPAR6	2.86614095619691e-40	0.131167739689816	0.389	0.28	7.34362635796773e-36
NRP2	1.01507951874802e-25	0.131052324135992	0.401	0.324	2.60083674293618e-21
DDX21	7.10345905908614e-45	0.129092620896415	0.539	0.411	1.82004828011905e-40
CCR7	2.01743856319315e-14	0.128886520342535	0.409	0.348	5.16908108661348e-10
SLC7A11	2.54184700518139e-28	0.128370318132215	0.379	0.284	6.51272039667575e-24
ETV3	4.2215558046409e-38	0.128026406537756	0.525	0.409	1.08164702826509e-33
S100B	1.64226726334011e-22	0.127628180612409	0.299	0.223	4.20781718213002e-18
DUSP5	2.81372913878303e-31	0.127032267797991	0.439	0.336	7.20933679938989e-27
MFSD2A	4.0921002450206e-60	0.126910570964148	0.272	0.156	1.04847792477918e-55
DNTTIP2	6.17105013716448e-48	0.126606180563154	0.444	0.319	1.58114646614428e-43
USP12	3.48985972912039e-38	0.125955265739358	0.585	0.464	8.94171859795225e-34
BAZ1A	1.0527911875464e-41	0.125869943787127	0.676	0.54	2.69746158073138e-37
TXNRD1	6.23183808694684e-26	0.125553365265516	0.53	0.44	1.59672155463752e-21
GLA	8.96432948909851e-36	0.125118742063656	0.506	0.39	2.29684050169682e-31
PRMT2	1.1635302930306e-58	0.124896592506171	0.348	0.22	2.981197316803e-54
PTPN1	1.58083447015978e-30	0.124760302568751	0.587	0.486	4.05041407944338e-26
BZW1	3.69783037778308e-41	0.124587542978835	0.701	0.571	9.4745809939558e-37
HNRNPM	2.7984159209204e-45	0.124104234526041	0.608	0.47	7.17010127258226e-41
CCND2	1.03990858968836e-28	0.123377136439197	0.329	0.245	2.66445378849952e-24
SHTN1	9.39147756942838e-49	0.12251166785532	0.38	0.26	2.40628438283894e-44
CD37	5.8221889134484e-37	0.122198930406045	0.519	0.409	1.49176124340375e-32
CFLAR	8.89177418235339e-36	0.122077373719409	0.785	0.707	2.27825038100259e-31
CDC42EP3	1.62217232001343e-26	0.12199722649186	0.462	0.371	4.15632991833842e-22
CCDC88A	3.24977652091316e-37	0.121650164994465	0.602	0.482	8.32657740188371e-33
MAFG	2.04782845846384e-39	0.120972847080622	0.486	0.368	5.24694607627605e-35
ID2	6.15628797832528e-22	0.120958893583268	0.708	0.637	1.5773641058065e-17
KCNQ1OT1	2.26343532271127e-34	0.120100232645618	0.265	0.178	5.7993739838508e-30
REV3L	3.2340545045128e-43	0.118391829447079	0.318	0.211	8.28629445146269e-39
SLCO3A1	2.4271168266881e-56	0.11812464412782	0.334	0.208	6.21875873334025e-52
LST1	1.63513619711636e-28	0.118054500463368	0.608	0.517	4.18954596425154e-24
DNAJB4	6.7061501456986e-40	0.118016563622998	0.32	0.217	1.7182497903309e-35
UPF2	2.36491596732247e-48	0.117828382508936	0.303	0.194	6.05938769147363e-44
RAB7B	3.22426825346841e-54	0.117234875759471	0.257	0.15	8.26122011903675e-50
ITGB2	2.92602710640138e-39	0.117219459714851	0.504	0.386	7.49706665202161e-35
ALOX5AP	3.5966619367465e-44	0.116837365361261	0.226	0.132	9.21536721433188e-40
FRG1	2.71052218806066e-54	0.116795722610446	0.312	0.194	6.94489995024901e-50
GPAT3	1.44559515591211e-21	0.116593229502878	0.509	0.432	3.703903908478e-17
GSN	1.17495066943888e-26	0.116417345524997	0.596	0.495	3.0104586052363e-22
STIP1	2.95101662759019e-46	0.116234656075041	0.446	0.318	7.5610948032116e-42
ALCAM	4.65218894471938e-31	0.116119728427088	0.465	0.364	1.191983851416e-26
MIR155HG	7.21195399778357e-17	0.116067400304755	0.411	0.343	1.84784685331211e-12
CTTNBP2NL	7.35131716812779e-40	0.115918018933644	0.437	0.321	1.8835544848177e-35
MECP2	8.77264660533056e-54	0.115916078024921	0.328	0.206	2.2477275132178e-49
HIVEP1	4.85729479131697e-45	0.114675640691345	0.329	0.217	1.24453607143123e-40
GADD45A	2.86406164199829e-25	0.114441245539585	0.348	0.263	7.33829873912803e-21
DNASE1L3	7.01426542631555e-20	0.113969769545267	0.289	0.222	1.79719508753057e-15
C15orf48	6.79697202870457e-16	0.112864741854717	0.561	0.487	1.74152017319468e-11
ORM1	1.59445475561985e-18	0.112368174314717	0.087	0.05	4.08531197484917e-14
JOSD1	4.27213367097327e-39	0.112012112964557	0.475	0.353	1.09460608917677e-34
AC016831.1	6.68795277952862e-41	0.111677835047197	0.265	0.168	1.71358726117082e-36
ST8SIA4	7.33941393017782e-30	0.111523948514137	0.53	0.422	1.88050463719016e-25
SCAF11	3.27905794233514e-35	0.111472934401892	0.555	0.434	8.4016022598511e-31
XBP1	4.05954730365208e-35	0.111101938897159	0.541	0.422	1.04013721014174e-30
BTG3	4.54835087741654e-36	0.111077627344124	0.457	0.346	1.16537846181167e-31
MAFF	3.17046270117526e-36	0.111058003587843	0.375	0.268	8.12335953295124e-32
RPS29	1.05941900400952e-121	0.110888830130381	0.997	0.999	2.71444337207319e-117
FNBP1	1.36459174619112e-29	0.110599044744164	0.667	0.553	3.49635697209088e-25
ANKRD11	1.9535296208495e-33	0.110228745725126	0.468	0.359	5.0053335945406e-29
SOX4	1.14515968141475e-17	0.109851233083522	0.421	0.347	2.93412813572087e-13
STK38L	9.75476124080524e-50	0.109847653335969	0.247	0.145	2.49936492511912e-45
GPR157	2.77561593264994e-21	0.109706502820371	0.444	0.363	7.11168314263569e-17
AC103591.3	2.38756731901494e-60	0.109558750155641	0.155	0.068	6.11742498478008e-56
DUSP2	4.46017083285472e-24	0.109500922480071	0.476	0.382	1.14278497079404e-19
GPBP1	8.06372224509036e-31	0.109340311521365	0.735	0.633	2.06608691363705e-26
THAP2	8.93528728679315e-34	0.108790284206483	0.293	0.2	2.28939930862214e-29
RAB11FIP1	3.45858508604908e-21	0.108547567911089	0.473	0.388	8.86158670747496e-17
PLAUR	4.51562963913166e-20	0.108509013481654	0.694	0.622	1.15699462613831e-15
MALT1	3.84798895557736e-30	0.108108620378896	0.418	0.318	9.8593173019803e-26
GOLGA4	6.03940561952426e-36	0.10804269825652	0.45	0.333	1.54741650783451e-31
EIF3J	4.27334529704947e-43	0.10773821610068	0.376	0.258	1.09491653201002e-38
TLE4	9.97349047661439e-42	0.107125407838837	0.295	0.193	2.55540772991814e-37
MALAT1	4.14561335291095e-145	0.107118653781577	1	0.999	1.06218905328284e-140
IL4I1	9.44013904017113e-29	0.106512152518029	0.317	0.23	2.41875242487265e-24
NSA2	3.41133808657723e-32	0.106436383953071	0.597	0.494	8.74053044542817e-28
PSMC1	4.37351394063542e-50	0.106362113592645	0.315	0.199	1.12058174186961e-45
RSRC2	8.84236049323627e-37	0.106359779437276	0.477	0.357	2.265589605577e-32
ARHGDIB	7.09707347193854e-29	0.106160197384534	0.49	0.39	1.81841216498009e-24
PAK1	2.15896457884268e-45	0.106011088840117	0.366	0.245	5.53169904391071e-41
ROCK1	7.77520569119268e-34	0.105790955685178	0.553	0.433	1.99216320219739e-29
PHACTR1	2.13273732085564e-30	0.105721603693253	0.334	0.241	5.46449956349631e-26
AL627171.2	7.44443071449093e-38	0.10536120361875	0.344	0.237	1.90741203766687e-33
CYTIP	6.31947349732225e-22	0.105198291943921	0.557	0.469	1.61917549948391e-17
KDM6B	3.98875332319361e-28	0.10481531347434	0.541	0.438	1.02199837646867e-23
