Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	Phagosome	38	7.584830339321358	3.601079287944032E-20	COLEC12, ATP6V1A, ITGAM, RAB5C, TFRC, NCF2, NCF4, CTSS, HLA-DMA, HLA-DMB, LAMP1, CTSL, MRC1, LAMP2, ATP6V1H, CD14, CD36, HLA-DOA, ATP6V1C1, MSR1, DYNC1H1, ATP6V1G1, ATP6AP1, STX7, M6PR, CYBB, HLA-A, HLA-E, FCGR2A, CD209, CANX, ATP6V1B2, ATP6V0D1, FCGR2B, ATP6V0C, TLR4, RAB7A, TLR2	334	152	8644	6.47005988023952	1.0695205485193775E-17	1.0695205485193775E-17	8.318493155150714E-18
KEGG_PATHWAY	Lysosome	35	6.986027944111776	1.8903968649985995E-19	SCARB2, CD63, ASAH1, HEXB, HEXA, CTSZ, CLTC, LITAF, GNS, CTSS, GM2A, LAMP1, CTSL, LAMP2, NEU1, PSAP, ATP6V1H, ACP5, CTSD, CTSC, CTSB, ATP6AP1, SLC11A2, M6PR, LAPTM5, IGF2R, NPC1, NPC2, DMXL2, MAN2B1, TPP1, CD68, ATP6V0D1, ATP6V0C, LGMN	334	132	8644	6.862184721466158	5.614478689045841E-17	2.8072393445229203E-17	2.1834083790733825E-17
KEGG_PATHWAY	Rheumatoid arthritis	24	4.790419161676647	4.481761269107788E-13	ATP6V1A, ATP6V1G1, CXCL8, CCL3L1, ATP6AP1, CXCL1, CXCL3, CXCL2, ICAM1, VEGFA, HLA-DMA, HLA-DMB, CTSL, IL1B, CCL3, ATP6V1B2, ACP5, ATP6V1H, HLA-DOA, ATP6V0D1, ATP6V0C, TLR4, ATP6V1C1, TLR2	334	93	8644	6.678771489279505	1.3311451940722918E-10	4.43694365641671E-11	3.450956177212996E-11
KEGG_PATHWAY	Tuberculosis	31	6.187624750499002	7.294007993176938E-12	CEBPB, ITGAM, RAB5C, CTSS, PPP3R1, HLA-DMA, HLA-DMB, LAMP1, MRC1, LAMP2, ITGAX, ATP6V1H, CD14, HLA-DOA, CTSD, IL10, HSPA9, FCER1G, ATP6AP1, STAT1, IL10RA, RHOA, FCGR2A, CD209, IL1B, ATP6V0D1, FCGR2B, ATP6V0C, TLR4, RAB7A, TLR2	334	180	8644	4.457152361942781	2.1663341120969903E-9	5.415800934933876E-10	4.2122896160596813E-10
KEGG_PATHWAY	Lipid and atherosclerosis	32	6.387225548902195	1.5070372362475524E-10	CXCL8, CCL3L1, NCF2, NCF4, LY96, CXCL1, PIK3R1, CXCL3, CXCL2, HSP90B1, ICAM1, PPP3R1, CCL3, CD14, CD36, ABCA1, MAP2K3, HSP90AA1, HSPA5, HSPA6, EIF2AK3, CYBB, SOD2, MMP9, RHOA, NFKBIA, IL1B, TLR4, ABCG1, HSPA1B, HSPA1A, TLR2	334	215	8644	3.851942626375157	4.475898951472601E-8	8.95180118331046E-9	6.962512031463692E-9
KEGG_PATHWAY	Osteoclast differentiation	24	4.790419161676647	1.4419732369874453E-9	CSF1R, JUND, NCF2, STAT1, NCF4, ATP2A2, ITPR2, PIK3R1, LILRB2, LILRB4, LILRB5, FOSL2, NFKBIA, SOCS3, PPP3R1, FCGR2A, TYROBP, IL1B, FOSB, ACP5, SIRPA, LCP2, FCGR2B, SQSTM1	334	135	8644	4.600931470392548	4.28265951257778E-7	7.137767523087854E-8	5.551596962401664E-8
KEGG_PATHWAY	Ferroptosis	14	2.7944111776447107	2.1669514375441695E-9	PRNP, TFRC, ACSL1, SLC11A2, NCOA4, SLC40A1, CYBB, ACSL3, MAP1LC3B, PCBP1, FTH1, HMOX1, GCLM, FTL	334	41	8644	8.837154958375931	6.435843582508483E-7	9.194065385008834E-8	7.150939743895759E-8
KEGG_PATHWAY	Legionellosis	15	2.9940119760479043	1.6168332099201722E-8	RAB1A, ITGAM, CXCL8, HSPA6, CXCL1, CXCL3, CXCL2, CLK1, NFKBIA, IL1B, CD14, TLR4, HSPA1B, HSPA1A, TLR2	334	56	8644	6.932207014542344	4.801983148228217E-6	6.002493291828639E-7	4.6686058936444975E-7
KEGG_PATHWAY	Antigen processing and presentation	16	3.1936127744510974	2.147192216513363E-7	HSP90AA1, HSPA5, HSPA6, HLA-A, CTSS, HLA-E, HLA-DMA, CD4, HLA-DMB, CTSL, CANX, HLA-DOA, HSPA1B, CTSB, HSPA1A, LGMN	334	78	8644	5.308767081222172	6.37695823029194E-5	6.473096274428952E-6	5.034630435666963E-6
KEGG_PATHWAY	Viral protein interaction with cytokine and cytokine receptor	18	3.592814371257485	2.179493695093923E-7	IL10, CCR1, CCL13, CSF1R, CXCL8, CCL3L1, IL10RA, CCL4L2, CXCR4, CXCL1, CXCL3, TNFRSF1B, CXCL2, CCL4, CCL3, IL6ST, CCL18, IL6R	334	100	8644	4.658443113772455	6.472887480690748E-5	6.473096274428952E-6	5.034630435666963E-6
