	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
EREG	0	2.66490797145621	0.84	0.234	0	Monocytes	EREG
THBS1	0	2.32902757521077	0.391	0.106	0	Monocytes	THBS1
IL1B	0	2.10870697627641	0.846	0.324	0	Monocytes	IL1B
G0S2	0	1.9934365873566	0.799	0.394	0	Monocytes	G0S2
TIMP1	0	1.78520442181922	0.887	0.523	0	Monocytes	TIMP1
CXCL8	0	1.47184936843767	0.977	0.625	0	Monocytes	CXCL8
SOD2	0	1.42134410505678	0.977	0.818	0	Monocytes	SOD2
INHBA	0	1.40532886629927	0.431	0.124	0	Monocytes	INHBA
SERPINB9	0	1.36358883997823	0.985	0.672	0	Monocytes	SERPINB9
CD44	0	1.29277998422938	0.993	0.887	0	Monocytes	CD44
PTGS2	0	1.29112112922965	0.648	0.275	0	Monocytes	PTGS2
SERPINB1	0	1.27567573609882	0.902	0.658	0	Monocytes	SERPINB1
OLR1	0	1.25541836000078	0.388	0.09	0	Monocytes	OLR1
GPAT3	0	1.20945268192442	0.772	0.366	0	Monocytes	GPAT3
FTH1	0	1.16866512703459	1	0.948	0	Monocytes	FTH1
IL1RN	0	1.15588973604642	0.582	0.219	0	Monocytes	IL1RN
NAMPT	0	1.15328283240947	0.978	0.79	0	Monocytes	NAMPT
SRGN	0	1.15262360745959	1	0.85	0	Monocytes	SRGN
C15orf48	0	1.1101786133327	0.77	0.467	0	Monocytes	C15orf48
NFKB1	0	1.1012402025206	0.958	0.638	0	Monocytes	NFKB1
KYNU	0	1.08381905862144	0.761	0.34	0	Monocytes	KYNU
SAMSN1	0	1.05706642098345	0.817	0.339	0	Monocytes	SAMSN1
TNFRSF1B	0	1.03978473903395	0.866	0.453	0	Monocytes	TNFRSF1B
REL	0	1.03793982087431	0.96	0.732	0	Monocytes	REL
ATP13A3	0	1.0332057618056	0.839	0.44	0	Monocytes	ATP13A3
BTG1	0	1.01865374743205	0.988	0.898	0	Monocytes	BTG1
LYZ	0	1.01145477645461	0.995	0.821	0	Monocytes	LYZ
CCR7	0	1.00880212055933	0.614	0.291	0	Monocytes	CCR7
BNIP3L	0	0.989743486566074	0.678	0.401	0	Monocytes	BNIP3L
GK	0	0.987631300922689	0.664	0.273	0	Monocytes	GK
MAP4K4	0	0.93791323889459	0.708	0.42	0	Monocytes	MAP4K4
PNRC1	0	0.913009690943905	0.989	0.86	0	Monocytes	PNRC1
ISG20	0	0.891503872438186	0.572	0.196	0	Monocytes	ISG20
BCL2A1	0	0.886037244878893	0.889	0.61	0	Monocytes	BCL2A1
LPXN	0	0.868895299666878	0.599	0.169	0	Monocytes	LPXN
STK4	0	0.864553461971159	0.905	0.613	0	Monocytes	STK4
ATP2B1	0	0.859677819689839	0.748	0.51	0	Monocytes	ATP2B1
TMEM123	0	0.851702107650957	0.796	0.563	0	Monocytes	TMEM123
JARID2	0	0.841666247069527	0.655	0.326	0	Monocytes	JARID2
TRAF1	0	0.83021758863233	0.724	0.31	0	Monocytes	TRAF1
INSIG1	0	0.811478147741812	0.948	0.698	0	Monocytes	INSIG1
FLNA	0	0.802959744612515	0.781	0.483	0	Monocytes	FLNA
CCND2	0	0.79509702716336	0.478	0.176	0	Monocytes	CCND2
ZEB2	0	0.793516110416719	0.847	0.457	0	Monocytes	ZEB2
SAT1	0	0.79324741535621	0.999	0.946	0	Monocytes	SAT1
WTAP	0	0.79308256758803	0.83	0.545	0	Monocytes	WTAP
ANXA5	0	0.784736363171917	0.971	0.846	0	Monocytes	ANXA5
FCER1G	0	0.784300534419422	0.896	0.507	0	Monocytes	FCER1G
FPR3	0	0.772923794202436	0.59	0.22	0	Monocytes	FPR3
AQP9	0	0.764412831838614	0.271	0.046	0	Monocytes	AQP9
LUCAT1	0	0.747585179564866	0.503	0.153	0	Monocytes	LUCAT1
AGO2	0	0.73146443059661	0.564	0.219	0	Monocytes	AGO2
GPR183	0	0.726371963914498	0.987	0.745	0	Monocytes	GPR183
GRB2	0	0.721135880741889	0.851	0.569	0	Monocytes	GRB2
SMAP2	0	0.720939097226041	0.613	0.27	0	Monocytes	SMAP2
EHD1	0	0.719570627416738	0.533	0.197	0	Monocytes	EHD1
FAM49A	0	0.718314924968815	0.75	0.395	0	Monocytes	FAM49A
TNFAIP8	0	0.71357558493052	0.878	0.606	0	Monocytes	TNFAIP8
ARL8B	0	0.710634782947982	0.782	0.478	0	Monocytes	ARL8B
CARD16	0	0.709823897386299	0.543	0.209	0	Monocytes	CARD16
PID1	0	0.70706993150038	0.471	0.122	0	Monocytes	PID1
SDCBP	0	0.705443128231462	0.924	0.683	0	Monocytes	SDCBP
S100A4	0	0.700402317694738	0.958	0.641	0	Monocytes	S100A4
RAB8B	0	0.69990208365578	0.822	0.533	0	Monocytes	RAB8B
BID	0	0.692510150530587	0.705	0.419	0	Monocytes	BID
CLEC10A	0	0.679625597572955	0.571	0.235	0	Monocytes	CLEC10A
TNIP1	0	0.669586483708445	0.541	0.212	0	Monocytes	TNIP1
CIITA	0	0.664837153939241	0.564	0.247	0	Monocytes	CIITA
NFE2L2	0	0.653596180328422	0.95	0.798	0	Monocytes	NFE2L2
