	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ARL4C	1.0760606153891e-62	0.786617562729409	0.957	0.863	1.62259180194522e-58	SLC16A6+ Monocytes	ARL4C
CTSB	2.18087236528446e-60	0.718028161687414	0.987	0.943	3.28853743961244e-56	SLC16A6+ Monocytes	CTSB
CXCR4	1.08170688189174e-55	0.841723931404593	0.763	0.494	1.63110580720455e-51	SLC16A6+ Monocytes	CXCR4
MMP9	9.82696052000091e-49	0.605933578503976	0.945	0.79	1.48180737681094e-44	SLC16A6+ Monocytes	MMP9
GNA13	6.22639639509147e-45	0.541656013094547	0.885	0.706	9.38878312415843e-41	SLC16A6+ Monocytes	GNA13
SDS	1.76093690798049e-44	0.973625671055528	0.515	0.248	2.65531676354378e-40	SLC16A6+ Monocytes	SDS
CXXC5	3.32445096285537e-43	0.43263122508338	0.396	0.144	5.01293960688962e-39	SLC16A6+ Monocytes	CXXC5
PSAP	6.33544130150589e-43	0.548175730015483	0.991	0.954	9.55321193854073e-39	SLC16A6+ Monocytes	PSAP
SAT1	1.54763964031837e-39	0.510326623128686	0.999	0.996	2.33368581363607e-35	SLC16A6+ Monocytes	SAT1
GPR183	7.16753847594807e-38	0.498795685759501	0.995	0.965	1.08079312678821e-33	SLC16A6+ Monocytes	GPR183
LITAF	3.38994122530659e-37	0.459885172119619	0.959	0.812	5.1116923736398e-33	SLC16A6+ Monocytes	LITAF
HLA-A	1.05877953138636e-35	0.41464957254433	0.997	0.977	1.5965336553775e-31	SLC16A6+ Monocytes	HLA-A
TNFRSF1B	2.44300167601324e-34	0.520274339275234	0.811	0.613	3.68380222726036e-30	SLC16A6+ Monocytes	TNFRSF1B
FTH1	2.61950847785906e-34	0.354604421975249	1	1	3.94995683376368e-30	SLC16A6+ Monocytes	FTH1
FABP5	1.28713570312941e-33	0.719470931956436	0.826	0.693	1.94087192674884e-29	SLC16A6+ Monocytes	FABP5
CAPG	1.94689732838063e-33	0.49421006580598	0.552	0.307	2.93572648146516e-29	SLC16A6+ Monocytes	CAPG
ADAMDEC1	1.36299736830004e-32	0.488140771472308	0.478	0.236	2.05526373165963e-28	SLC16A6+ Monocytes	ADAMDEC1
GLUL	1.52463951267361e-32	0.670587221838478	0.888	0.767	2.29900392116053e-28	SLC16A6+ Monocytes	GLUL
TXNRD1	3.61804910340994e-32	0.579718135117856	0.615	0.385	5.45565624303186e-28	SLC16A6+ Monocytes	TXNRD1
LMNA	6.81747152148287e-32	0.446978481127441	0.944	0.854	1.0280065307244e-27	SLC16A6+ Monocytes	LMNA
ATP13A3	7.91654580624121e-32	0.500257163476582	0.824	0.647	1.19373594212311e-27	SLC16A6+ Monocytes	ATP13A3
EZR	1.53447760234938e-31	0.467387312812989	0.894	0.763	2.31383877658262e-27	SLC16A6+ Monocytes	EZR
ATP6V0C	2.84001003195661e-31	0.378777830893397	0.96	0.891	4.28245112718737e-27	SLC16A6+ Monocytes	ATP6V0C
CSTB	6.2738433156773e-31	0.473066955394455	0.948	0.887	9.4603283357098e-27	SLC16A6+ Monocytes	CSTB
CTTNBP2NL	2.25135123632953e-30	0.384683810394357	0.472	0.245	3.3948125292613e-26	SLC16A6+ Monocytes	CTTNBP2NL
FNIP2	7.66237189947216e-30	0.526526667428646	0.9	0.782	1.15540905872141e-25	SLC16A6+ Monocytes	FNIP2
LHFPL2	9.3312850620663e-30	0.500687171708714	0.57	0.354	1.40706447450898e-25	SLC16A6+ Monocytes	LHFPL2
LYZ	4.40150273050867e-28	0.876001345806188	0.948	0.887	6.63702596733402e-24	SLC16A6+ Monocytes	LYZ
SLC16A6	5.94138316405229e-28	0.46709891781707	0.251	0.082	8.95901167307445e-24	SLC16A6+ Monocytes	SLC16A6
SQSTM1	1.20522577142213e-27	0.413498885628063	0.923	0.804	1.81735994072743e-23	SLC16A6+ Monocytes	SQSTM1
METRNL	6.28143621432716e-27	0.390350408819491	0.786	0.593	9.47177766758393e-23	SLC16A6+ Monocytes	METRNL
HLA-DRA	3.07304849924693e-26	0.316715731147021	0.999	1	4.63384983201444e-22	SLC16A6+ Monocytes	HLA-DRA
SLC16A10	8.72405970370302e-26	0.508078701616457	0.482	0.281	1.31550096272138e-21	SLC16A6+ Monocytes	SLC16A10
SERINC5	1.43968282829549e-25	0.423764264002561	0.425	0.229	2.17089773678677e-21	SLC16A6+ Monocytes	SERINC5
IL7R	1.65468460297297e-25	0.615249685766514	0.43	0.232	2.49509891282294e-21	SLC16A6+ Monocytes	IL7R
SEMA6B	3.34576709569762e-25	0.310930583781187	0.324	0.14	5.04508220360244e-21	SLC16A6+ Monocytes	SEMA6B
ZMIZ1	3.8235163611536e-25	0.319580467974249	0.495	0.279	5.76548032098351e-21	SLC16A6+ Monocytes	ZMIZ1
GPX4	9.20589479772147e-25	0.380521670077788	0.831	0.699	1.38815687654842e-20	SLC16A6+ Monocytes	GPX4
HLA-DQA1	9.45069553739231e-25	0.451519098730425	0.987	0.965	1.42507038008339e-20	SLC16A6+ Monocytes	HLA-DQA1
CEBPB	3.52071369962077e-24	0.39687639256565	0.949	0.883	5.30888418765817e-20	SLC16A6+ Monocytes	CEBPB
ANKH	3.62214294964471e-24	0.365949390966549	0.346	0.166	5.46182935376925e-20	SLC16A6+ Monocytes	ANKH
CTSL	6.50820095456995e-24	0.433304036459755	0.888	0.776	9.81371621939603e-20	SLC16A6+ Monocytes	CTSL
LIMS1	2.58863937893416e-23	0.404975463785907	0.652	0.448	3.90340931949482e-19	SLC16A6+ Monocytes	LIMS1
CDCP1	2.20765762937791e-22	0.306990894350256	0.305	0.139	3.32892693933895e-18	SLC16A6+ Monocytes	CDCP1
FTL	2.41974274583135e-22	0.263157052769673	1	1	3.6487300864391e-18	SLC16A6+ Monocytes	FTL
C5AR2	2.58106416539813e-22	0.369443266079669	0.288	0.128	3.89198665500385e-18	SLC16A6+ Monocytes	C5AR2
CLN8	4.30977439717164e-22	0.332924793350899	0.564	0.353	6.49870881349512e-18	SLC16A6+ Monocytes	CLN8
PTPN1	7.28390709892812e-22	0.311921469338456	0.724	0.5	1.09834035144737e-17	SLC16A6+ Monocytes	PTPN1
SAMSN1	8.32524666921066e-22	0.391171915636912	0.701	0.495	1.25536394525028e-17	SLC16A6+ Monocytes	SAMSN1
